name,organization_type,parent_organization_id,priority,segment_id,website,phone,email,address,city,state,postal_code,notes,logo_url,linkedin_url,annual_revenue,employee_count,founded_year,tax_identifier,context_links,sales_id,created_by,updated_by,deleted_at,import_session_id
Purdue,customer,,A,,,,,,,,,"Type: College & Universites

Sales Notes: NACUFS SHOWCASE EAST AND SOUTH USA",,,,,,,,,,,,
Purdue University Northwest,unknown,,A,,,,,,,,,Sales Notes: NRA ANNASEA LEADS,,,,,,,,,,,,
Ridge Country Club,prospect,,C,,,,,,,,,Type: Country Clubs/Golf/Health Fitness,,,,,,,,,,,,
Rightway Food Service,distributor,,A,,,,,,Lima,OH,,Type: Distributor,,,,,,,,,,,,
Roots Pizza,customer,,A,,,+1-773-645-4949,,1924 W Chicago Ave,Chicago,IL,60622,"Type: Pizza

Sales Notes: Paul Spinale requested we bring his brands here. This will be a cold lead.",,,,,,,,,,,,
Square Roots,unknown,,C,,,,,,Wisconsin Dells,,,,,,,,,,,,,,,
Sysco,customer,,A,,,,,,"39 S Arlington Heights Rd, Elk Grove Village, Il 60007",IL,,Type: Casual,,,,,,,,,,,,
The Food Institute,unknown,,A,,,,,,,,,Sales Notes: NRA ANNASEA LEADS,,,,,,,,,,,,
The Rose Hotel,prospect,,A,,,,,,,IL,,"Type: Travel

Sales Notes: Testa VAF BLITZ",,,,,,,,,,,,
The Table at Crate,customer,,A,,,+1-630-590-0063,,35 Oakbrook Center,Oak Brook,IL,60523,Type: Casual,,,,,,,,,,,,
The Vault Downtown,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
University of Georgia,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Washington State University,unknown,,A,,,,,,,,,,,,,,,,,,,,,
Treetops - Top of Hill,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Double Down Desserts,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Troy Escape,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Saginaw Club,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Riverwalk Grill,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Louhelen Baha'I School,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Bay Cliff Health Camp,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Lincoln Lake Baptist Youth Camp,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Henry Ford College,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Michigan State Police Training Divi,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Mdining- Test Kitchen 689175,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
St Peter Lutheran School Account,customer,,A,,,,,,,MI,,"Type: Casual

Sales Notes: GFS NOVI show leads",,,,,,,,,,,,
Independence Village of Ames,unknown,,B,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Abbvie Ap30,prospect,,C,,,,,,,,,"Type: Business and Industry

Sales Notes: Gfs rosemont 2025 lead",,,,,,,,,,,,
Acarath Montessori,unknown,,C,,,,,,North Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Ami-Gos Tacos,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Angry Octopus,unknown,,C,,,,,,Lincoln,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Apostolic Church of God,unknown,,C,,,,,,Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Assembly American Bar & Cafe the,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Beverly Country Club,unknown,,C,,,,,,St Joseph,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Countrytime Kettle Korn Mchenry,unknown,,C,,,,,,Springfield,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Creme of the Crop,unknown,,C,,,,,,Mchenry,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Dr John Warner Hospital,unknown,,C,,,,,,Clinton,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Epic Burger-Pearson St,unknown,,C,,,,,,Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Esperanza School,unknown,,C,,,,,,Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Game on Bar & Grill,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Hampshire Township Park District,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Kirby Medical Center,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Kirk'S BBQ,unknown,,C,,,,,,Monticello,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Knights of Columbus #1282,unknown,,C,,,,,,Dwight,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
LA Rabida Childrens Hospital,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Louies Waffle House,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Mary'S Place,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Nivram Balmoral Nursing,unknown,,C,,,,,,Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
North Island Catering,unknown,,C,,,,,,Evanston,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Paramount Theatre,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Peace Meal Central Office,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Post 18 American Legion,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Queen of Peace Retirement,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Rush U Med-Gen Kitchen Po589563,unknown,,C,,,,,,Elk Grove Village,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Sassy Mac Boys,unknown,,C,,,,,,Durand,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Storypoint of Bolingbrook,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
The Ice Cream Shop,unknown,,C,,,,,,Michigan City,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
The Matrix Room,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
The Pointe at Morris,unknown,,C,,,,,,Naperville,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
The Shores of Fairmont,unknown,,C,,,,,,Lake Villa,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Ths-Gottlieb Memorial Dietary-H0182,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
U of I- Housing Food Stores,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Washington Grade School District 52,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Area Career Center,unknown,,C,,,,,,Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Goblin and the Grocer,unknown,,C,,,,,,Beverly Shores,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Merrillville Regional Mental Health,unknown,,C,,,,,,Merrillville,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Notre Dame-110 South Dining Hall,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
State Park Little League,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Taco Depot Crown Point,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Clementine'S Saloon,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Daydreamer Domes,unknown,,C,,,,,,Kalamazoo,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Ludington Pub,unknown,,C,,,,,,Joliet,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Wuskowhan Players Club,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Aging and Disability Resource Cente,unknown,,C,,,,,,Schaumburg,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Bj'S Restaurant,unknown,,C,,,,,,Chicago,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Faklandia Brewing,unknown,,C,,,,,,St Francis,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Fort Atkinson Family Restaurant,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Hsl West Allis Assisted,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
L G Youth Camp-Gate 2,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Macs,unknown,,C,,,,,,Elkhorn,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Moxie Coffee Café Catering,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Timber-Lee Ministries,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Independence Village of Avon,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Independence Village of Waukee,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Jelka Leedle,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Julie Wendorf,unknown,,C,,,,,,Lake Geneva,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Kelly,unknown,,C,,,,,,Elkhorn,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Kimberly Woods,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
King-Bruwaert House,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Maija'S Families Foods,unknown,,C,,,,,,Ashwaubenon,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Paulie's,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
The Woods of Caledonia,unknown,,C,,,,,,,,,Sales Notes: Gfs rosemont 2025 lead,,,,,,,,,,,,
Anderson Foods,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Battle Alley Brewing Company,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Belva,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Bens Supercenter,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Bluebird,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Boardwalk the,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Boyne River Inn,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Bsa-Cole Canoe,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
C K O S - Catered Events,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Cardinal Pizza,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Cds - Miracle Camp and Retreat Cent,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Chart Room,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Chico'S Bar and Grill,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Comm Action - Head Start,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Country View Bulk Foods,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Cut River Grille,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Daybreak Cafe,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Delton Memorial Vfw #422,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Detroit Pizza Factory,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Dockside Torch Lake,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Duck Lake Country Club 40461e,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Eighteen87,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Embassy Bar & Grill,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Feed Bag Cafe the,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Gaylord Bowling Center,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Gillies Coney Island/Mt Morris,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Hacienda Mexican Rest H-1,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Hamlin Pub - Rochester Hills,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Henry'S Restaurant- Ottawa,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Hog'S Back Food Co-Op\ Carolyn Peru,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Jayell Smoke House,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Keys the,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Morrison Lake Golf Club,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Mrs C's Grilled Cheese,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Potterville Inn,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Principle Business Enterprises,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Put in Bay Resort,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
River Rock Bar & Grill,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Riverfront Grille,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Royal Oak American Legion,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Shafer'S Smoked Meats,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Shawnee Country Club,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Small Batch at the Cupola Room,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Smokin' Pigs by Bigs,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Sunrise Warehouse,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
The Cortland Northview,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
The Little Store,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
The Mayfield Tavern,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
The Pepper Mill,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Towneplace Suites Ann Arbor,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Trackside Eatery & Pub,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Trails End Pub,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Turnaround Bar and Grille,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Village Place- Greek,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Zachariah'S Chocolates,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Zefs Lighthouse Tavern,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Slow'S to Go 002,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
All Nite Mobile Cafe,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Brightmoor Christian Church,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Camp Blodgett,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Camp Co-Be-Ac,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Carmella'S Italian Ice,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Sparrow Eaton,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
The New Tubbs Lake Resort,unknown,,A,,,,,,,MI,,Sales Notes: GFS NOVI SHOW LEAD KURDS,,,,,,,,,,,,
Dutch Creek Foods,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Euclid Fish Company,distributor,,A,,,,,,,,,Type: Distributor,,,,,,,,,,,,
Nearng,unknown,,A,,,,,,,,,Sales Notes: NRA ANNASEA LEADS,,,,,,,,,,,,
Rochester Institute of Technology,unknown,,A,,,,,,,,,Sales Notes: NRA ANNASEA LEADS,,,,,,,,,,,,
Station Square,unknown,,A,,,,,,,,,Sales Notes: NRA ANNASEA LEADS,,,,,,,,,,,,
Hal Smith Restaurants,unknown,,A,,,,,,,,,Sales Notes: NRA ANNASEA LEADS,,,,,,,,,,,,
Michigan Technological University,unknown,,C,,,,,,,MI,,Sales Notes: NRA KAUFHOLDS,,,,,,,,,,,,
Premier Arts Academy,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Chicago Health Foods,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Dabney & Co,unknown,,C,,,,,,Kalamazoo,,,,,,,,,,,,,,,
E I U- Food Court,unknown,,C,,,,,,Charleston,,,,,,,,,,,,,,,
Fm - Village at Mercy Creek,unknown,,C,,,,,,Normal,,,,,,,,,,,,,,,
Ivy Tech-E Chicago,unknown,,C,,,,,,East Chicago,,,,,,,,,,,,,,,
Kiddie Academy of Oak Park,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Lutherdale,unknown,,C,,,,,,Elkhorn,,,,,,,,,,,,,,,
Marrufo'S Tacos,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Niipc- Prairie Knolls Middle School,unknown,,C,,,,,,Plymouth,,,,,,,,,,,,,,,
Rockford Rivets,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Tandoor Char House,unknown,,C,,,,,,Chicago,,,,,,,,,,,,,,,
West Carroll Middle School',unknown,,C,,,,,,,,,,,,,,,,,,,,,
Tar &Feather Concessions,prospect,,C,,,,,,Westmoreland,TN,,"Type: Food Truck

Sales Notes: sells bagels was looking for interest on plant base cream cheese",,,,,,,,,,,,
Zel's Great Roast Beef,customer,,B,,,,,,,,,Type: Gastropub,,,,,,,,,,,,
Cheers in Chestertown,customer,,A,,,,,,Burlington,IN,,"Type: Gastropub

Sales Notes: GFS ROSEMONT F/U",,,,,,,,,,,,
Crown Plaza Lansing,customer,,A,,,,,,Lansing,MI,,"Type: Fine Dining

Sales Notes: NRA ANNASEA LEADS",,,,,,,,,,,,
Direct Food Service,distributor,,A,,,+1-630-350-2171,,204 North Edgewood Dr,Woodale,IL,60191,"Type: Distributor

Sales Notes: Positive response of Annasea. Use as ingredient or as finished pupu",,,,,,,,,,,,
Porky'S BBQ & Grill,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Gordon Food Service,distributor,,A,,,,,,,,,"Type: Distributor

Sales Notes: Includes culinary and sales key contacts as well as HQ team",,,,,,,,,,,,
Northern Hasserot,distributor,,A,,,,,,Cleveland,,,Type: Distributor,,,,,,,,,,,,
Girl in the Goat2,customer,,A,,,+1-312-492-6262,,"2429 N Lincoln Ave Chicago, Il",Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
Olga'S Kitchen,unknown,,C,,,,,,,MI,,,,,,,,,,,,,,
Kelber Catering,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Bobcat Bonnies,unknown,,A,,,,,,,MI,,,,,,,,,,,,,,
Chefs Kitchen,distributor,,A,,,,,,,IL,,Type: Distributor,,,,,,,,,,,,
Bobcat Bonnies,unknown,,A,,,,,,,MI,,,,,,,,,,,,,,
Kelly'S Pub,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Coppolillos,customer,,A,,,,,,Crown Point,IN,,"Type: Chain/Group Member

Sales Notes: dale will pirsue for VAF, Frites ANNASEA",,,,,,,,,,,,
Big Ed'S BBQ,customer,,C,,,+1-847-473-5333,,651 Lakehurst Rd,Waukegan,IL,60085,Type: Casual,,,,,,,,,,,,
Sould Vibez,unknown,,D,,,,,,,,,,,,,,,,,,,,,
Joe Daniels,customer,,C,,,+1-708-765-2155,,12218 S Harlem Ave,Palos Heights,IL,,"Type: Gastropub

Sales Notes: Met chef Angel and tried the samples. Likes the Garlic then jalapeno 11-12-24",,,,,,,,,,,,
Oliver'S Bar& Grill,customer,,C,,,,,6150 W 159th St,Oak Forest,IL,60452,"Type: Gastropub

Sales Notes: George or Tim is the manager",,,,,,,,,,,,
Caplingers,customer,,A,,,,,,,,,Type: Chain/Group Member,,,,,,,,,,,,
Mi Tocaya,customer,,A,,,,,505 N. Michigan Avenue,Chicago,IL,60601,Type: Fine Dining,,,,,,,,,,,,
Maxwells Trading,unknown,,C,,,,,,,,,,,,,,,,,,,,,
Girl in the Goat2,customer,,A,,,+1-312-492-6262,,"2429 N Lincoln Ave Chicago, Il",Chicago,IL,,Type: Fine Dining,,,,,,,,,,,,
"Stapleton'S, INC",distributor,,A,,,,,,,MI,,Type: Distributor,,,,,,,,,,,,
Premier Produce,distributor,,A,,,,,,Cleveland,OH,,Type: Distributor,,,,,,,,,,,,
Sociale,customer,,B,,,,,,,,,"Type: Fine Dining

Sales Notes: Cut and won vs Lamb Stealth fry; initially price and avialbility an Issue, now just price. Still working woth Martin and Carlota on this account.",,,,,,,,,,,,
Shulers,customer,,A,,,,,,,MI,,Type: Fine Dining,,,,,,,,,,,,
Euro USA,distributor,,A,,,,,,,OH,,Type: Distributor,,,,,,,,,,,,
