,,,,,,,,,,,,,,,,,,,,
         Opportunities,,,,,,,,,,Instructions:,"Enter your Opportunities in the table below. An Opportunity is a deal, potential sale, or any other business opportunity. 
The Opportunities listed here can be referenced via dropdowns in the other input sheets.",,,,,,,,,
,NO PRIORITY,North Point ,Kaufhold's,2/3/2025,2/3/2025,SOLD-7d,SOLD-7,2/17/2025,100.00%,Kaufholds,,5,Michell,,,Turned business over to kaufhold's from Molly's cheese curds. ,,0,,
,A,Pavlou Group,Poke-radius,1/1/2025,12/30/2024,Open,Feedback- received-5,12/11/2024,100.00%,Annasea,Ahi Tuna,,Gary,MFB,,,,A,,
,NO PRIORITY,Purdue,Bb ,2/17/2025,2/17/2025,SOLD-7d,SOLD-7,,,Better Balance,Better Balance hot dogs,4,Dale,,,Dale was working on this account for months. Kim confirmed on 2/18 that they will be going with the cheese sauce. 4 cases a week/USF.,,0,,
,NO PRIORITY,Rail House Bar,Kaufhold's,2/3/2025,2/3/2025,SOLD-7d,SOLD-7,2/17/2025,100%%,Kaufholds,,3,Michell,,,Turned business over to kaufhold's from Molly's cheese curds. ,,0,,
,A+,Testa Produce,VAF,1/1/2025,12/30/2024,SOLD-7d,SOLD-7,,100.00%,VAF,All,,Dale,Appointment,,Working on sampling different flavours. Bought the original. Previously using Anchor. ,,,,
,A,Timothy's,Poke and FS and VAF,1/16/2025,1/13/2025,Open,SOLD-7,3/1/2025,100.00%,Annasea,Bulk pack,1,Gary,Email,,Pulling from Superior,,,,
,A,Western Michigan University,better balance hot dog,3/10/2025,3/10/2025,Closed,SOLD-7,4/1/2025,100.00%,Better Balance,,,,,,,,,,
,A,Al Peake amd Sons,wondejuice and Kaufholds,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/28/2025,30.00%,Kaufholds,Jalapeno,,Gary,,,,,A,,
,B,Albanos Pasta,Poke,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,50.00%,Annasea,Ahi Tuna,,Gary,MFB,,Sampled prepped product-not present for tasting,,B,,
,A,Ashland University,Plant based,1/22/2025,1/20/2025,open,Sampled/Visited invite-3,2/1/2025,75.00%,Better Balance,Better Balance hot dogs,,Gary,,,Purchasing the hot dog thru GFS. ,,A,,
,A,Ashland University,Land Lovers,1/22/2025,1/20/2025,Open,Sampled/Visited invite-3,2/10/2025,75.00%,Better Balance,Better Balance hot dogs,,Gary,,,Positive Respone,,A,,
,A,Ashland University,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,A,,
,NO PRIORITY,At the office Sports Bar& Grill,curds,1/14/2025,1/13/2025,open,Sampled/Visited invite-3,,,,,,,,,,,,,
,NO PRIORITY,At the office Sports Bar& Grill,curds,1/14/2025,1/13/2025,open,Sampled/Visited invite-3,2/1/2025,,,,,Q,,,,,,,
,C,Avgo (Theo's RG),opp2,1/1/2025,12/30/2024,On Hold,Sampled/Visited invite-3,12/30/2024,90.00%,Unknown,Unknown,3,Dale,Customer referral,Competitor,New menu for 2025,,C,,
,C,Avgo (Theo's RG),45620,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2024,,Frites Street,Unknown,6,Dale,Walk-In,,,,C,,
,A,Baker Street,cheese curds plant based frites,1/22/2025,1/20/2025,open,Sampled/Visited invite-3,2/1/2025,75.00%,Frites Street,,,Gary,,,,,A,,
,NO PRIORITY,Baldwin Richardson University,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,,,
,A,Barrio,"Vegan, Verticle Acres, ",1/14/2025,1/13/2025,Open,Sampled/Visited invite-3,Michell,,VAF,Chef's Mix,,Michell,,,,,A,,
,A,BAY CLIFF HEALTH CAMP,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,C,Bloom plant based,Swap ,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/21/2025,50.00%,Better Balance,,,Michell,,,,,C,,
,C,Bloom plant based,Land Lovers,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/21/2025,50.00%,Better Balance,Better Balance hot dogs,,Michell,,,,,C,,
,A,Bluegrass Hospitality Group,Poke,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,12/3/2024,50.00%,Annasea,Unknown,100,Brent,Distributor referral,,Gave Chef Manny the PFG Kurd kit. Is excited but the boss is the decision maker. ,,A,,
,B,Bob Chinn's  Crabhouse,Vertical Acres,1/17/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,,VAF,All,,Michell,Networking,,,,B,,
,B,Bob Chinn's  Crabhouse,Frites Street ,1/17/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,,Frites Street,Frites street 3/8,,Michell,Networking,,,,B,,
,B,Bob Chinn's  Crabhouse,Annasea,1/17/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,,Annasea,Bulk pack,,Michell,Networking,,,,B,,
,A,Briar Ridge,VAF,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,40.00%,VAF,All,4/wk,Dale,Distributor referral,,Wanta to set firm meeting before. Xmas. Hoping to visit with Testa rep,,A,,
,A,Bronson Behavioral Hospital,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,BROWN JUG,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Cameron Mitchell restaurant group,"Poke, cheese curds and Frite street",2/25/2025,2/24/2025,open,Sampled/Visited invite-3,,Timothy,Annasea,Bulk pack,,Brent,,,,,A,,
,A,CASCADE HILLS COUNTRY CLUB  18682E,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,NO PRIORITY,Char? 'd Brourbon Kitchen +Bar,Cheese Curds,2/25/2025,2/24/2025,open,Sampled/Visited invite-3,,,,,,,,,,,0,,
,A,Chicago Club,VAF,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,30.00%,VAF,All,3/wk,Dale,Distributor referral,,"need to revist w/exec chef, who was not there when we brought samplea",,A,,
,A,CHURCHILL'S FOOD & SPIRITS,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,COMMUNITY PROGRAMS,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Coppolillo's,"poke, VAF, FS",3/10/2025,3/10/2025,Open,Sampled/Visited invite-3,3/31/2025,80.00%,Frites Street,Frites street 1/4 ,,Gary,,,,,A,,
,A,Coppolillo's,"poke, VAF, FS",3/10/2025,3/10/2025,Open,Sampled/Visited invite-3,3/31/2025,80.00%,Annasea,Bulk pack,,Gary,,,,,A,,
,A,CORNELL NYC,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,A,,
,A,CRG DINING,Annasea bulk,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,,,Annasea,Unknown,100,Gary,,,,,A,,
,A,Crowes Nest Café,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Culinary Misfits,"poke, VAF, FS",3/10/2025,3/10/2025,Open,Sampled/Visited invite-3,3/31/2025,75.00%,Annasea,Bulk pack,,Gary,,,,,D,,
,A,Culinary Misfits,"poke, VAF, FS",3/10/2025,3/10/2025,Open,Sampled/Visited invite-3,3/31/2025,75.00%,Frites Street,Frites street 1/4 ,,Gary,,,,,D,,
,A,Culinary Misfits,"poke, VAF, FS",3/10/2025,3/10/2025,Open,Sampled/Visited invite-3,3/31/2025,75.00%,VAF,Red Romaine,,Gary,,,,,D,,
,A,Northern IL U,RR,9/3/2025,9/1/2025,Open,Sampled/Visited invite-3,10/1/2025,85.00%,Rapid Rasoi,,,Gary,,,Email connect while at The Patio McCrum-accepted RR sampling and visit.,,,,
,A,Northern IL U,Annasea,9/3/2025,9/1/2025,Open,Sampled/Visited invite-3,10/1/2025,85.00%,Annasea,,,Gary,,,Email connect while at The Patio McCrum-accepted RR sampling and visit.,,,,
,A,Northern IL U,Kaufholds,9/3/2025,9/1/2025,Open,Sampled/Visited invite-3,10/1/2025,85.00%,Kaufholds,,,Gary,,,Email connect while at The Patio McCrum-accepted RR sampling and visit.,,,,
,A,Delmonico,cheese curds frites,1/22/2025,1/20/2025,open,Sampled/Visited invite-3,2/1/2025,50.00%,Frites Street,,,Gary,,,Email connect while at The Patio McCrum-accepted RR sampling and visit.,,A,,
,NO PRIORITY,Direct Food Services,Annasea bulk pack intro request,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,11/21/2024,50.00%,Annasea,Unknown,100,Gary,MFB,,Received positive feedback. Requested samples. Try for 11/26 meeting,,0,,
,B,Dog House,Kaufholds,2/18/2025,2/17/2025,open,Sampled/Visited invite-3,3/1/2025,90.00%,Kaufholds,Garlic,,Gary,,,,,B,,
,A,DOT,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,A,,
,A,Double Down Desserts,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,NO PRIORITY,Driftwood Restaurant Barren River Lake SP,Kaufholds,4/23/2025,4/21/2025,,Sampled/Visited invite-3,,,,,,,,,,,,,
,B,Earl G. Dumplins,Curds garlic  - super special,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,11/25/2024,80.00%,Kaufholds,Unknown,2,Brent,MFB,,Good customer,,B,,
,A,Fatmans,Kaufhod's ,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,60.00%,Kaufholds,Original White Cheddar,,Michell,Principal,,,,A,,
,A,FLAT ROCK CARE CENTER,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,GARLAND LODGE FOOD AND BEVERAGE,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,NO PRIORITY,Gemato's Wood Pit BBQ,Product for menu addition,1/1/2025,12/30/2024,SOLD-7d,Sampled/Visited invite-3,11/13/2024,100.00%,Kaufholds,Original White Cheddar,,Q,MFB,,"Bought Jalapeno, Garlic, & Original Curds",,0,,
,A,GEORGIA STATE,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,A,,
,B,Gino's Prime - Dyer,VAF,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,50.00%,VAF,All,,Dale,Already Known,,,,B,,
,A,Gnome Town,cheese curds plant based frites,1/22/2025,1/20/2025,open,Sampled/Visited invite-3,2/1/2025,75.00%,Kaufholds,,,Gary,,,,,A,,
,A,Gordon Food Service,BB AND LL DISTRICT MEETING,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,3/1/2025,50.00%,Better Balance,Better Balance hot dogs,,Gary,Food Show,,,,A,,
,A,Gordon Food Service,BB AND LL DISTRICT MEETING,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,3/1/2025,50.00%,Better Balance,Better Balance hot dogs,,Gary,Walk-In,,,,A,,
,A,Gordon Food Service,landlovers,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/28/2025,30.00%,Better Balance,Better Balance hot dogs,,Gary,,,,,A,,
,A,Gordon Food Service,Rapid Rasoi DC stocking,2/25/2025,2/24/2025,open,Sampled/Visited invite-3,2/27/2025,75.00%,Rapid Rasoi,Dehli Tikka Masala,,,,,,,A,,
,A,Gordon Food Service,rapid Rasoi EPO,2/25/2025,2/24/2025,open,Sampled/Visited invite-3,2/27/2025,75.00%,Rapid Rasoi,Makhani,,,,,,,A,,
,B,Gyros and More,Kaufholds,2/18/2025,2/17/2025,open,Sampled/Visited invite-3,3/1/2025,90.00%,Kaufholds,Garlic,,Gary,,,W/w Atalntic Distributor Rep JOSH CHAMBERS,,B,,
,A,Hacienda Calavera,"TCFB, Verticle Acres, ",1/14/2025,1/13/2025,Open,Sampled/Visited invite-3,Michell,,VAF,Chef's Mix,,Michell,,,,,A,,
,A,HENRY FORD COLLEGE,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,In the Game Hollywood Park,Dessert & Curds,1/14/2025,1/13/2025,Open,Sampled/Visited invite-3,,,,Kaufholds,,,,,,,A,,
,NO PRIORITY,Indiana University ,OPP4,1/1/2025,12/30/2024,SOLD-7d,Sampled/Visited invite-3,2/1/2025,75.00%,Kaufholds,Unknown,5,Dale,MFB,,Sent email and texted twice Annasea,,,,
,B,Innsbrook CC,VAF,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,,20.00%,VAF,All,,Dale,Already Known,,Chef loved the product. Need to revisit. Cost is an issue with him.,,B,,
,NO PRIORITY,Jodi's Italian Ice Factory,Jodi's Italian Ice Factory,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/31/2025,60.00%,Unknown,Unknown,,Dale,Walk-In,,I would also smaple the breakfast cubes (homestyle) from Frites Street.,,0,,
,B,Joys Pizza,Kaufholds,2/18/2025,2/17/2025,open,Sampled/Visited invite-3,3/1/2025,90.00%,Kaufholds,Garlic,,Gary,,,W/w Atalntic Distributor Rep JOSH CHAMBERS,,B,,
,NO PRIORITY,Kit Kat Lounge ,Frites Street,2/14/2025,2/10/2025,Open,Sampled/Visited invite-3,3/1/2025,50.00%,Frites Street,Frites street 3/8,,Michell,,,Dropped off a sample of 3/8. Lauren is following up. Will get more information from her on 02/19.,,0,,
,A,Krave,All lines,4/22/2025,4/21/2025,Open,Sampled/Visited invite-3,,,RJC,,,Dale,,,,,,,
,A,Krave,All lines,4/22/2025,4/21/2025,Open,Sampled/Visited invite-3,,,Ofk,,,Dale,,,,,,,
,A,Krave,All lines,4/22/2025,4/21/2025,Open,Sampled/Visited invite-3,,,Kaufholds,,,Dale,,,,,,,
,NO PRIORITY,Lark Restaurant & Bar,Frites Street,2/14/2025,2/10/2025,Open,Sampled/Visited invite-3,3/1/2025,50%%,Frites Street,Frites street 3/8,,Michell,,,Dropped off a sample of 3/8. Lauren is following up. Will get more information from her on 02/19.,,0,,
,A,LINCOLN LAKE BAPTIST YOUTH CAMP,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,NO PRIORITY,Lola's Tacos & Tequila,Verticle Acres ,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,30.00%,VAF,Chef's Mix,,Michell,Already Known,,,,0,,
,NO PRIORITY,Lola's Tacos & Tequila,Better Balance ,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,20.00%,Better Balance,Better Balance hot dogs,,Michell,Already Known,,,,0,,
,NO PRIORITY,Lola's Tacos & Tequila,Land Lovers ,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,20.00%,Better Balance,Better Balance hot dogs,,Michell,Already Known,,,,0,,
,A,LOUHELEN BAHA'I SCHOOL,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Lucky/s,land lovers,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/28/2025,30.00%,Better Balance,Better Balance hot dogs,,Gary,,,,,A,,
,A,Lucky/s,Curds,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/28/2025,30.00%,Kaufholds,Original White Cheddar,,Gary,,,,,A,,
,A,Lucky/s,SWAP,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/28/2025,30.00%,Better Balance,,,Gary,,,,,A,,
,A,Mad Anthony - Taylor - 371788E,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,D,Madame Zusus,Better Balance ,1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,2/17/2025,20.00%,Better Balance,Better Balance hot dogs,,Michell,Food Show,,,,D,,
,D,Madison's pub and grill,Kaufholds ,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,80.00%,Kaufholds,Unknown,3,Dale,Walk-In,,Met with chef and gave him samples. Loved them. Wants 2nd meeting,,D,,
,A,mali,plant based and curds for gfs,2/25/2025,2/24/2025,open,Sampled/Visited invite-3,2/27/2025,75.00%,Better Balance,Better Balance hot dogs,,Gary,,,,,A,,
,A,MARIA HEALTH CARE CENTER,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Market Fresh Restaurant Group,"`kaufholds `frites street, MCrum",4/22/2025,4/21/2025,Open,Sampled/Visited invite-3,5/31/2025,75.00%,Kaufholds,Sirracha,12,Gary,,,,,,,
,A,MASON COUNTY CENTRAL SCHOOLS,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MASON COUNTY CENTRAL SCHOOLS,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MATADOR'S PIZZA & TAKE OUT,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,NO PRIORITY,Matt and Tonys Columbus,"Poke; Curds, Frite Street",1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,12/15/2024,50.00%,Annasea,Unknown,,Brent,,,CW account. Also liked Frites w/Lauren,,0,,
,A,MDINING- TEST KITCHEN 689175,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MDINING- TEST KITCHEN 689175,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Memorial Healthcare - Cafe,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MESSIAH,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,A,,
,A,MICH MED- UNIV HOSPITAL-DOCK 5- 202,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MICH MED- UNIV HOSPITAL-DOCK 5- 202,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MICHIGAN STATE POLICE TRAINING DIVI,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Michigan State University,overview,2/20/2025,2/17/2025,Open,Sampled/Visited invite-3,3/28/2025,50.00%,Kaufholds,Original White Cheddar,,Gary,,,,,A,,
,A,MICHINDOH CONFERENCE CENTER,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,millenium,"presented annasea, Frites St., Kaufholds, Kenja, and land lovers and better balance",1/16/2025,1/13/2025,Open,Sampled/Visited invite-3,3/1/2025,50.00%,Better Balance,Better Balance hot dogs,,Gary,Walk-In,,top,,A,,
,A,Mise En Place Culinary Consulting,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,MONROE ST DINER,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,B,Native Foods,Plant based,2/5/2025,2/3/2025,Open,Sampled/Visited invite-3,,70.00%,Better Balance,Better Balance hot dogs,,Dale,,,Chef Dame has sampled; USF account; Abdale option? ,,B,,
,A,NEW HUDSON INN 371779E,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A+,Northern Hasserot,rapid rasoi,2/10/2025,2/10/2025,Open,Sampled/Visited invite-3,2/17/2025,90.00%,Rapid Rasoi,Dehli Tikka Masala,,Gary,,,Received email from buyer for two cases flr Ashland U. Showcase,,A+,,
,A+,Northern Hasserot,rapid rasoi,2/10/2025,2/10/2025,Open,Sampled/Visited invite-3,2/17/2025,90.00%,Rapid Rasoi,Makhani,,Gary,,,Received email from buyer for two cases flr Ashland U. Showcase,,A+,,
,A,Northville Public Schools,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Novo Dolce,Kufholds,3/3/2025,3/3/2025,open,Sampled/Visited invite-3,,,,,,,,,,,,,
,A,Obi Cai Restaurant Group,cheese curds plant based frites,1/22/2025,1/20/2025,open,Sampled/Visited invite-3,2/1/2025,75.00%,Kaufholds,,,Gary,,,,,A,,
,D,Olivers Bar & Grill,Curds,1/14/2025,1/13/2025,open,Sampled/Visited invite-3,,,,,,,,,,,D,,
,D,Olivers Bar & Grill,Curds,1/14/2025,1/13/2025,open,Sampled/Visited invite-3,2/1/2025,,,,,Q,,,,,D,,
,A,One of a Kind Hospitality,VAF,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/17/2025,50.00%,VAF,All,,Michell,Distributor referral,,Only buy local and big on sustainability. Green star certified restaurant. ,,A,,
,A,Pavlou Group,Poke-Maple,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,50.00%,Annasea,Ahi Tuna,,Gary,MFB,,Sampled prepped product-not present for tasting,,A,,
,A,Pavlou Group,Poke-sub shop,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,50.00%,Annasea,Ahi Tuna,,Gary,MFB,,Sampled prepped product-not present for tasting,,A,,
,A,PENN STATE,Annasea bulk,2/26/2025,2/24/2025,Open,Sampled/Visited invite-3,5/1/2025,65.00%,Annasea,Bulk pack,,Dale,,,,,A,,
,NO PRIORITY,Perilla Steakhouse ,Frites Street ,3/19/2025,3/17/2025,Open,Sampled/Visited invite-3,4/30/2025,80.00%,Frites Street,Frites street home fries,,Michell,,,,,,,
,NO PRIORITY,Piazza Produce,VAF,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/31/2025,70.00%,VAF,All,,Gary,Already Known,,Chef Billy loves the product. Waiting for Testa to get the product live able to sell. Should be week of 12/9,,,,
,A,Pine Rest,"bb, ll, annasea",1/27/2025,1/27/2025,open,Sampled/Visited invite-3,3/1/2025,80.00%,Better Balance,Better Balance hot dogs,,Gary,,,,,A,,
,A,Pizza Wholesale of Lexington,Kaufholds,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,A,,
,A,Planks Tavern on the Water,Cowboy chips,1/1/2025,12/30/2024,Open,Sampled/Visited invite-3,1/1/2025,75.00%,Frites Street,Unknown,10,Gary,Principal,,Left 5# sample Contacted-phone/email-2 gfs rep . Gfs rep wrote to him on 11/25,,A,,
,A,Plant Based Coney's,Swap,4/1/2025,3/31/2025,Open,Sampled/Visited invite-3,7/1/2025,80.00%,SWAP,,,Gary,,,Lead from GFS show Novi. Sent email to rep and samples availed,,,,
,A,Proximo,cheese curds plant based frites,1/22/2025,1/20/2025,open,Sampled/Visited invite-3,2/1/2025,75.00%,Kaufholds,,,Gary,,,,,A,,
