name,organization_type,priority,segment_name,phone,linkedin_url,address,city,state,postal_code,notes
AMARU,unknown,C,,(312) 955-0306,,,,,,
Amg,unknown,B,,(312) 337-6070,,,,,,
Anchored Consulting,unknown,D,,+1 (773) 327-4900,,,,,,
Andre's Avery's,unknown,C,,+1 (708) 205-5341,,,,,,
Anelya,unknown,C,,,,,,,,
Angie's,unknown,D,,,,,,,,
Angie's Sports Bar & Pizzeria,customer,D,Gastropub,,,,,,,
ANMAR FOODS,distributor,C,Distributor,,,,Chicago,IL,,
ANTHONY MARANO COMPANY,distributor,A,Distributor,,,,Chicago,IL,,
Apis Hotel,unknown,C,,,,,,,,
APOLLO FOODS,distributor,C,Distributor,,,,,MI,,
Apolonia,customer,B,Fine Dining,+1 (312) 363-2431,,"2201 S. Michigan Ave., Chicago, IL 60616",Chicago,IL,60616,
aramark,unknown,D,,,,,,,,
Arami,unknown,C,,,,,,,,
Arch City Tavern,customer,B,Gastropub,,,,,,,
Arlington Tap House,customer,A,Gastropub,+1 (224) 735-2450,,1204 W Rand Rd,Arlington Heights,IL,60004,
Aromatix Catering,unknown,D,,,,,,,,
Around The Clock,unknown,D,,,,,,,,
Arthur Treachers,customer,B,Chain/Group,,,,,,,
ARTISAN SPECIALTY FOODS,distributor,A,Distributor,,,,,IL,,
ARUNS THAI,unknown,C,,,,,,,,
Asador Bastian,customer,C,Fine Dining,,,,,,,
Ashland University,customer,A,Education,,,,,OH,,Nathan Schegerikmis NH Rep Nick Forester is GFS rep
Astor Club,customer,A,Fine Dining,,,24 E. Goethe St,Chicago,IL,60610,Testa Kristen lead for VAF; Chef Trevor/Adam Butler
At the Office Bar& Grill,customer,C,Gastropub,,,4901 cal sag rd,Crestwood,IL,60445,Sue or Tim are the owner
Atelier,customer,B,Fine Dining,,,,,,,
ATLANTIC FOOD DIST.,distributor,A,Distributor,,,,,OH,,
Atlantic Food Distributors,distributor,A,Distributor,,,,,OH,,
ATLANTIC FOODS CORP.,distributor,A,Distributor,,,,,OH,,
ATLAS WHOLESALE,distributor,A,Distributor,,,,,MI,,
Au Cheval,customer,A,Chain/Group,,,800 W Randolph St,Chicago,IL,,
Austin's Wood Fire Grille,unknown,C,,,,,,,,
AVANTI FOODS,distributor,A,Distributor,,,,WALNUT,IL,,
AVEC,unknown,D,,,,,,,,
Avgo (Theo's RG),customer,C,Casual Dining,,,,,,,
Avli,customer,C,Fine Dining,,,,Chicago',,,Follow up on VAH and Frties
Avli Restaurants,unknown,D,,,,,,,,
Azul Marisol's 7 Muelle,unknown,D,,,,,,,,
B & B PRODUCE,distributor,A,Distributor,,,,LOCKPORT,IL,,
B AND B FOODS,distributor,A,Distributor,,,,,IN,,
B N B CREATIONS,unknown,D,,,,,,,,
B.E.S INC.,distributor,A,Distributor,,,,,IN,,
Back Yard Burgers,customer,A,Casual Dining,,,,,,,
BADGER MURPHY F.S.,distributor,A,Distributor,,,,Chicago,IL,,
Bailey's bar and Grill,unknown,C,,,,,,,,
Baker Street,customer,A,Chain/Group,,,,Fort wayne,IN,,
Baldwin Wallace,customer,C,Education,,,,,,,
Baldwin Wallace University,customer,A,Education,,,,cleveland,,,
Ball State U,customer,C,Education,,,,,,,
Ballyhoo Hospitality,customer,A,Management Company,312-577-4004,,908 North Halsted St.,Chicago,IL,60642,"Gemini, coda Del Velte, old Pueblo, Sophia, Pomeroy, pizza by Sal, Buck Russells, Danucci's, Gemini, petite Pomeroy"
Bally's Casino and Hotel,unknown,C,,888 822-2559,,600 N. Wabash Ave.,Chicago,IL,60611,They want to support diverse vendors. Sue to set up a meeting.
Bally's Casino and Hotel TAP HOUSE RESTAURANT AND BAR,unknown,C,,,,,,,,DOES NOT LIKT THE OVERBREADING OGF THE SYSCO IMPERIAL BRAND CHEESE CURD LOOKING TO SWITCH
Ballys Casino Cavanugh's,unknown,D,,,,,,,,
Ballys Casino Evansville,customer,B,Entertainment,,,,,,,
Bangers and Lace,customer,A,Chain/Group,,,1670 W Division St,Chicago,IL,60622,
Banyan Ko,unknown,C,,,,,,,,
BAR MAR,unknown,C,,,,,,,,
Bare bones,unknown,C,,,,,,,,
Barefoot Republic Camp,customer,C,Hospitality,,,,Fountain Run,KY,,intro
Barley�s Brewing Company Ale House #1,customer,B,Gastropub,,,,,,,
Barrio,customer,A,Ethnic Cuisine,,,65 W Kinzie St,Chicago,IL,60654,Vegetarian/ Vegan options
Bastion,unknown,C,,,,,,,,
Bastista's Pizza,unknown,D,,,,,,,,
BATTAGLIA DIST. CORP. INC,distributor,A,Distributor,,,,Chicago,IL,,
Batter & Berries,unknown,D,,,,,,,,
Bavarian Inn/cheese trap,customer,A,Gastropub,,,,frankenmuth,MI,,"monica claimed cudtown customer. I cisited in Feb -left sample kit,/monica sent dill sample."
Bavette's Bar and Steakhouse,customer,A,Chain/Group,+1 (312) 624-8154,,218 W Kinzie St,Chicago,IL,60654,Actually advertises steak frites! A vegas spot too!
Baxter's North America,unknown,D,,,,,,,,
BAZAAR,unknown,C,,,,,,,,
Bear and the Butcher,customer,A,Fine Dining,(312) 955-0306,,2721 N Halsted St,Chicago,IL,,
Beard and Belly,customer,B,Gastropub,,,,,,,
Beatnik on the River,customer,A,Fine Dining,,,,,,,
BEAVER WHOLESALE MEATS,distributor,A,Distributor,,,,,OH,,
beer exchange,customer,A,Gastropub,,,,,MI,,
Beggars Pizza,customer,A,Chain/Group,,,,,,,
Bella's Pizza,customer,C,Pizza,,,,Saugatuck,MI,,erun rogers plant based leads gfs
Bellen Container Corp. dba Packaging By Design,unknown,D,,,,,,,,
benny dicartas,customer,A,Gastropub,,,,,MI,,
Best Intentions,unknown,C,,,,,,,,
Lucrezia,customer,A,Fine Dining,,,,chesterton,IN,,VAF ANNASEA
INDUSTRIAL REVOLUTION,customer,A,Gastropub,,,,VALPRAISO,IN,,VAF ANNASEA
Beverly CC,prospect,A,Country Clubs/Golf/Health Fitness,,,,Chicago,IL,60652,GFS ROSEMONT F/U 87th street
Bian,customer,B,Gastropub,,,,,,,
BIBIBOP Asian grill,customer,A,Chain/Group,,,,Columbus,OH,,Lead from bb. Brent and I will research
Big Boy,customer,B,Chain/Group,,,,,,,
Big City Tap,unknown,D,,,,,,,,
Big Eds BBQ,unknown,A,,,,,,,,
Big Ed's BBQ,customer,C,Casual Dining,8474735333,,651 Lakehurst Rd,Waukegan,IL,60085,
Big jones,unknown,C,,,,,,,,
Big Red Oven,unknown,D,,,,,,,,
Big Woods,customer,A,Chain/Group,,,,,,,
BINK'S WINES & BEVERAGES,distributor,A,Distributor,,,,,MI,,
Bistro Coco,customer,C,Fine Dining,,,250n Warren St,Dayton,OH,45402,Shipped Chef Zac a sample box of Annasea Tuna and salmon
windy cuty grill,customer,A,Chain/Group,,,,crown point,IN,,steve Coppolillos -Rosebud-Windy City
Bizarre meat by Jose Andres,customer,A,Fine Dining,,,"120 N. Wacker Drive, Chicago, Illinois",Chicago,IL,60606,
Bl Development Group,unknown,C,,,,,,,,
Blackwing Organic Meats,unknown,D,,,,,,,,
blondies,prospect,A,Vegan/ Vegetarian,,,,Flint,MI,,meeting-awaiting assigned sales rep names
Bloom & Associates,unknown,D,,,,,,,,
Bloom plant based,unknown,C,,,,,,,,
Blue Chip Casino,customer,C,Entertainment,,,,,,,
Blue Oyster,customer,B,Gastropub,,,,Valparaiso,IN,,Chef Edddie
Blue Ridge Hotel partners,unknown,C,,,,,,,,
Bluebeard,unknown,D,,,,,,,,
Bluegrass Hospitality Group,customer,A,Chain/Group,,,,,,,
Bob Chinn's  Crabhouse,customer,B,Casual Dining,,,,,,,
Bob Chinn's Crabhouse,customer,C,Casual Dining,(847) 520-3633,,393 S Milwaukee Ave,Wheeling,IL,60090,
Bobcat Bonnie,unknown,C,,,,,,,,
Bobcat Bonnie's,unknown,C,,,,,,,,
Boelter,unknown,D,,,,,,,,
Boeufhaus,unknown,D,,,,,,,,
Boka,customer,A,Chain/Group,(312) 337-6070,,1729 N. Halsted Street,Chicago,IL,,Please call on me ..several locations and catering. Tentori doesn't work there. New lead: Tentori works at GT Prime Steakhouse.
Boka Restaurant Group/Momotaro,customer,A,Chain/Group,,,820 West Lake St.,Chicago,IL,,Please call on me ..several locations and catering. Tentori doesn't work there. New lead: Tentori works at GT Prime Steakhouse.
Bolingbrook golf club & banquet,prospect,C,Country Clubs/Golf/Health Fitness,,,,,,,
Bon Appetit,customer,A,Management Company,,,,,,,
BON Manger Catering and Events,unknown,D,,,,,,,,
"Boodell & Domanskis, LLC",unknown,D,,,,,,,,
Boonies,unknown,C,,,,,,,,
"BOSCO FOOD SERVICE, INC.",distributor,A,Distributor,,,,,MI,,
BOWLING GREEN STATE,customer,B,Education,,,,,,,
Brass elk,unknown,C,,,,,,,,
Brassica,customer,A,Gastropub,,,,,,,
BRGBELLY,customer,B,Casual Dining,,,5739 w. Irving park road,,,,
Briar Ridge,prospect,A,Country Clubs/Golf/Health Fitness,,,,,,,
brick and brine,customer,A,Gastropub,,,,,MI,,
BRINDILLE,unknown,D,,,,,,,,
Brio Tuscan,customer,A,Fine Dining,,,,,,,
Broken Barrel bar,customer,C,Gastropub,,,2548 n southport ave,Chicago,IL,60614,Took Frites Street Fries to the chef and loves the fries. Fries too espensive for them.
Broken barrel bar,customer,B,Gastropub,+1 (773) 327-4900,,2548 N Southport Ave,,,,
Bronzeville WINERY,customer,A,Gastropub,,,,,,,
Brooklyn and The Butcher,unknown,D,,,,,,,,Sister account to The Exchange.
BROWN FOOD SERVICE,distributor,A,Distributor,,,,,KY,,
BuB Cafe,unknown,D,,,,,,,,
Bub City,customer,A,Casual Dining,,,43rd N. Clark Street,Chicago,IL,60654,
Bubba's 33 (Texas roadhouse little sister),customer,D,Casual Dining,,,,,,,
Buckee,prospect,B,Travel,,,,,,,
Bugsy's,customer,C,Casual Dining,,,,,,,
Bullpen,customer,C,Gastropub,,,,,,,Sampled curds; purchased Original.
Buragtory,customer,C,Gastropub,,,,,,,7 units; original
BurgerUp,customer,C,Gastropub,,,,Cool Springs,TN,,
Butcher & The burger,customer,B,Gastropub,,,1021 w. Armitage Ave,Chicago,IL,,
Butcher and the bear,customer,B,Fine Dining,+1 (708) 205-5341,,,,,,
Cafe 53,unknown,D,,,,,,,,
Cafe Olympic,unknown,D,,,,,,,,
Calling a Chef LLC,unknown,C,,,,,,,,
Calo Restaurant,prospect,A,Italian,,,,Chicago,,,"Presented CCF; Frank ( Chef) like Cafe Classic Pumpkin, Carmel Apple Crunch and Salted Chocolate CC."
Cameron Mitchell,customer,A,Chain/Group,,,,Columbus,OH,,"Drop off samples from Annasea, Kaufhold and Frites Street"
Cameron Mitchell restaurant group,customer,A,Chain/Group,,,,,,,
Can�t believe it�s not meat,unknown,D,,,,,,,,
Can't Belive It;s Not Meat,unknown,D,,,,,,,,
CANTON HOTEL & RESTSUPCO.,customer,A,Management Company,,,,,OH,,
Caplinger,customer,A,Catering,,,,,,,
CARAMAGNO FOODS,distributor,A,Distributor,,,,,MI,,
Caring,unknown,C,,,,,,,,
Carlisle,unknown,C,,,,,,,,
Carlos & Lupitas Restaurants,unknown,D,,,,,,,,
Carlos Pancake House,unknown,D,,,,,,,,
Carl's jr,customer,A,Chain/Group,,,,,,,
CARMELA FOODS DISTRIBUTIN,distributor,A,Distributor,,,,,MI,,
CARSON�S RIBS,customer,A,Casual Dining,,,465 E Illinois St,Chicago,IL,60611,
Castle Hospitality,customer,A,Chain/Group,,,11 East Hubbard St.,Chicago,IL,,
CATANESE CLASSIC SEAFOODS,distributor,A,Distributor,,,,,OH,,
CATCH 35,customer,B,Casual Dining,,,,,,,
Catering Out The Box,unknown,D,,,,,,,,
CBK,customer,A,Casual Dining,,,,,,,
Cellar Bar,unknown,D,,,,,,,,
Cellar door,unknown,C,,,,,,,,
Center Plate Development Co.,unknown,D,,,,,,,,
Central Kitchen + Bar,unknown,C,,,,,,,,
CENTRAL MARKET,unknown,D,,,,,,,,
Century,prospect,A,Chain/Group,,,,columbus,,,
Chaney's Dairy Farm,customer,C,Casual Dining,,,,,,,
Chapel Street Cafe,unknown,D,,,,,,,,
Charlie Baggs Culinary Innovations,unknown,A,,,,,,,,
Charlies,unknown,C,,,,,,,,REP will bring the kit to the chef on their next meeting.
Char? 'd Brourbon Kitchen +Bar,customer,C,Gastropub,,,,louisville,KY,,pass along a Kaufholds Sample kit Chef
Chasers,unknown,D,,,,,,,,left wamples with bartender Lee; gave brief presentation
Cheer's Food & Drink,unknown,D,,,,,,,,
cheers in chestertown,customer,A,Gastropub,,,,,IN,,GFS ROSEMONT F/U
Chef Dave Madison,unknown,D,,,,,,,,
Chef Jose Solis,customer,C,Casual Dining,(773) 289-4274,,2714 N Milwaukee Ave,Chicago,IL,60647,Have visited wtice. They have bought TCFB.
CHEF SOURCE,distributor,A,Distributor,,,,,MI,,
Chefs special cocktail,unknown,C,,,,,,,,
Chefs Warehouse,distributor,A,Distributor,331-213-3364,,,,,,meeting set for 3/26
Chef's Warehouse - Chicago,distributor,A,Distributor,,,,,,,
"CHEFS' WAREHOUSE MIDWEST,",distributor,A,Distributor,,,,,OH,,
chelsea retirement,prospect,A,Healthcare,,,,,MI,,
Cherry Creek Golf Course,unknown,D,,,,,,,,
Chicago chophouse,customer,A,Fine Dining,,,"60 W. Ontario Street, Chicago, Illinois",Chicago,IL,,
Sand Creek CC,prospect,A,Country Clubs/Golf/Health Fitness,,,,Chesterton,IN,,now Concert management Co. in FL
219 Taproom,customer,B,Gastropub,,,,Chesterton,IN,,JOE OWNER-INSUFFICIENT DEMND FOR VAF
Chicago Club,customer,A,Fine Dining,,,,,,,Emailed Steve Testa
Chicago Club Makers LLC,unknown,D,,,,,,,,
Chicago Cut,customer,B,Fine Dining,,,,,,,
Chicago cut steakhouse,customer,B,Fine Dining,,,300 N. La Salle Dr,Chicago,IL,,"Dessert of the day, must ask server. skin on fries."
Chicago Diner,prospect,A,Vegan/ Vegetarian,,,2333 N Milwaukee Ave,Chicago,IL,60647,Will visit with a vegan kit.
Chicago Q,customer,B,Casual Dining,,,,,,,
Chicago Vegan Foods,prospect,D,Vending,,,,,,,
Chicago winery,unknown,D,,,,,,,,
Chicken Salad Chick,customer,A,Chain/Group,,,,,,,
Chilean balsam,unknown,C,,,,,,,,
Chocolate Shoppe Ice Cream Co,unknown,D,,,,,,,,
CHRIST PANOS EGV,distributor,A,Distributor,,,,Chicago,IL,,
CHRIST PANOS FOODS,distributor,A,Distributor,,,,Chicago,IL,,
Cira/Boca Group,customer,A,Chain/Group,,,,,,,
Citizen M,unknown,D,,,,,,,,
Clairebook CC,unknown,D,,,,,,,,
CLARK RESTAURANT SERVICE,distributor,A,Distributor,,,,,KY,,
ClarkLindsey,unknown,D,,,,,,,,
Classic Cafe,customer,A,Catering,,,,fort wayne,IN,,presented RR sauces Tandoori amd Butter chicken on drums and in cubess; left Kurd kit;presented BB hot dogs and land lovers filet
Clean Eatz,prospect,C,Meal Prep Service,,,7776 B S Randall Rd,Algonquin,IL,,
CLEMS REFRIGERATED FOODS,distributor,A,Distributor,,,,,KY,,
Club 18 at Mister B's(Evansville and Owensboro,customer,A,Casual Dining,812-492-0075,,,,,,Drop samples to GMs of all locations except BG and Owensboro.  Need to follow up with jared@misterbspizza.com
Club Hawthrone Crestwood,customer,B,Entertainment,605-595-1636,,13148 rivercrest dr,Crestwood,IL,,Met with Rebecca. Loves the Garlic & Jalape�o. Has cheese curds but might replace them bc of flavor(s). 11-12-24
Cocina Costera Tulum,unknown,D,,,,850 w Fulton Market,Chicago,IL,,
COCO PAZZO,unknown,C,,,,,,,,
Cod di Volpe,unknown,C,,,,,,,,
Colasanti's / Milford Markets,unknown,C,,,,,,,,
Coles public house,unknown,C,,,,,,,,
Community Hospitality,customer,C,Chain/Group,,,,Nashville,,,
Concept Development Group,unknown,D,,,,,,,,
Concordia College Dining Services,unknown,D,,,,,,,,
"Continental Canteen - Sterling Heights, MI",unknown,C,,,,,,,,
Coopershawk,customer,A,Chain/Group,,,,,,,
Copper Fox,unknown,D,,,,,,,,
Coppolillo's,customer,A,Chain/Group,,,,crown point,IN,,
"CORFU FOODS, INC.",distributor,A,Distributor,,,,,IL,,
corleones,customer,A,Gastropub,,,,Independence,OH,,Lead from Delmonicos
CORNELL NYC,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Cornerstone Restaurant Group,customer,A,Management Company,,,,,,,"Urban Belly, The Table at Crate, Sol Toro, MJ23 Sports Bar Michael Jordan's Steakhouse, Hi-Fi Chicken and Beer, Brassierie 1783"
"COSGROVE DISTRIBUTORS,INC",distributor,A,Distributor,,,,,IL,,
Cousin's Pizza Pub,customer,C,Pizza,630-980-8181,,966 w lake st,Roselle,IL,,
Cracker Barrel,customer,A,Chain/Group,,,,,,,
Craft & Crew Hospitality,unknown,D,,,,,,,,
Craft Burger,customer,C,Casual Dining,,,,Chicago,,,
Craft'd,customer,C,Casual Dining,,,,,,,
CREATION GARDENS,distributor,A,Distributor,,,,,KY,,
Creekside Restaurant & Bar,unknown,C,,,,,,,,
Crescent Hill Craft House,unknown,C,,,,,,,,
CRG DINING,customer,A,Chain/Group,,,,Indianapolis,IN,,
CRISTINA FOODS,distributor,A,Distributor,,,,Chicago,IL,,
CRITCHFIELD MEATS WHSL.,distributor,A,Distributor,,,,,KY,,
Crown Republic Gastropub,customer,A,Gastropub,,,,,,,
Crown restaurant group,customer,A,Chain/Group,,,,,,,
CRS One Source,distributor,A,Distributor,,,,Paducah,KY,,Edgar is Director of Sales
Crumb Crusher,unknown,D,,,,,,,,
Crushed pizzeria,unknown,D,,,,,,,,
Crust Brewing,customer,A,Gastropub,,,,,,,
Culinary Misfits,customer,D,Gastropub,,,,crown point,IN,,Chef Erin
Cumin bowl,customer,C,Ethnic Cuisine,,,,,,,
Curts Cafe,customer,C,Casual Dining,(847) 748-8086,,766 2nd St,Higland Park,IL,60035,"Two locations, Highland Park and Evanston"
Cynergy Bakes,unknown,D,,,,,,,,
dabney and company,customer,A,Gastropub,,,,,MI,,
Daisies,unknown,C,,,,,,,,
Daisies poorboy and Tavern,unknown,C,,,,,,,,
DALMARES PRODUCE,distributor,A,Distributor,,,,Chicago,IL,,
Danny's,unknown,D,,,,,,,,
"Dar Baklava, LLC",unknown,D,,,,,,,,
D'Asti Deli,unknown,D,,,,1410 irving park rd,bensenville,IL,,Left samples with Manager Meme; garlic prefered
Dave & Buster's Rosemont,customer,A,Chain/Group,7739871128,,"9870 Berwyn Ave. Des Plaines, Il",,IL,,
Dave & Buster's Schaumburg,customer,A,Chain/Group,8503450276,,"601 N Martingales Rd Schaumburg, IL",,IL,,
Dawg House,prospect,B,Fast food,,,,elyria,OH,,W/w Atalntic Distributor Rep JOSH CHAMBERS
Dear Margaret,unknown,C,,,,,,,,
DEARLY BELOVED,unknown,C,,,,,,,,
DELCO FOODS,distributor,A,Distributor,,,,,IN,,
Delmonico,customer,A,Fine Dining,,,,Independence,OH,,
Delwood,unknown,C,,,,,,,,
Demera,unknown,C,,,,,,,,
DENIRO CHEESE CO.,distributor,A,Distributor,,,,,OH,,
DePaul University,customer,C,Education,,,,,,,
DeRosa Corporation,customer,A,Chain/Group,,,,,,,
Diageo Beer Company,unknown,D,,,,,,,,
DILGARD FOODS COMPANY,distributor,A,Distributor,,,,,IN,,
DINEAMIC HOSPITALITY,customer,A,Management Company,,,,,,,"Bar La Rue, La Sierra Prime and Provisions, Lyra, Violi, Sienna Tavern, Bandit, Barrio, Blanks Bar, Builders Building, Dineamic Catering"
Direct Food Service,distributor,A,Distributor,630-350-2171,,204 North Edgewood Dr.,Woodale,IL,60191,Positive response of Annasea. Use as ingredient or as finished pupu
Direct Food Services,unknown,C,,,,,,,,
dirty franks,customer,A,Chain/Group,,,,,,,
DISCOUNT PIZZA SUPPLY,distributor,A,Distributor,,,,,IN,,
District 6 Restaurant,unknown,C,,,,,,,,
"DIXON FISHERIES, INC.",distributor,A,Distributor,,,,,IL,,
DMK Burger Bar,customer,B,Gastropub,,,1410 S. special Olympics Drive,,,,
Dog House,prospect,B,Fast food,,,,Brunswick,OH,,W/w Atalntic Distributor Rep JOSH CHAMBERS
Dog n Suds Drive In,customer,B,Chain/Group,,,,,,,
Donato's,customer,A,Chain/Group,,,,,,,
Dorthy Lane Market,prospect,C,Retail,,,,Dayton,OH,,talkd about poke they get bulk seafood and poke mix from NOH
DosBros,unknown,D,,,,,,,,
DOT,customer,A,Education,,,,,,,NACUFS SHOWCASE EAST AND SOUTH USA
Dots Platform,unknown,D,,,,,,,,
DOUBLE B DISTRIBUTORS,distributor,A,Distributor,,,,,KY,,
Dovetail,unknown,C,,,,,,,,
DP Dough,customer,B,Casual Dining,,,,,,,
Drake,customer,A,Chain/Group,,,,,,,Samples left. Champion is Brian. HQ call. Gfs supplied. Brent to pursue.
Drake Oakbrook,customer,A,Hospitality,,,,,,,
Drury Lane,customer,A,Entertainment,,,"100 Drury Lane Oakbrook Terrace, IL",,,,Emailed on Proper Stock CATMAN identification-on 8/19 identified Catman who is Lauren Vanryn. Our timing is excellent as this category is up for review in a month or so and they will likely request samples and a presentation.
"Drury Lane Theatre, banquet hall",customer,C,Entertainment,,,Countryside,,,,
DTM Distributors,distributor,A,Distributor,,,,Bowling Green,KY,,email Virginia to see if we can show samples
DUANE S. RAHE INC.,distributor,A,Distributor,,,,,OH,,
Dublin Hall Irish,unknown,C,,,,,,,,
Ducky's,customer,C,Entertainment,,,,Fort Wayne,IN,,
Dukes Alehouse,customer,A,Gastropub,,,,,,,They use our SWAP chicken.
Dusty,unknown,C,,,,,,,,
DUTCH VALLEY SCHLABACH,distributor,A,Distributor,,,,,OH,,
"E & S SALES, LLC",distributor,A,Distributor,,,,,IN,,
E.T.C.,customer,B,Gastropub,,,,,,,
Earl G. Dumplins,customer,B,Gastropub,,,,,,,
East Bank Club,customer,A,Entertainment,,,500 N Kingsbury St,Chicago,IL,60654,"1/31/25 Tessa is no longer the rep here, she has been promoted to a corporate role. Will try to find the new rep."
East End tap,unknown,C,,,,,,,,
Eating To Live LLC,unknown,D,,,,,,,,
El Ideas,unknown,C,,,,,,,,
El Salto,customer,A,Chain/Group,,,,,,,
ELEGANTE CUISINE,unknown,D,,,,,,,,
Eleven City,unknown,C,,,,,,,,
Elohi Strategic Advisors,unknown,D,,,,,,,,
Elsie,unknown,C,,,,,,,,
Empire Burger,unknown,D,,,,,,,,
Entourage,unknown,D,,,,,,,,
ENzo's Bar,unknown,C,,,,,,,,
Epic,unknown,D,,,,,,,,
ERB MEAT COMPANY,distributor,A,Distributor,,,,Chicago,IL,,
ERNST HOTEL SUPPLY CO,distributor,A,Distributor,,,,,MI,,
Esme,customer,B,Fine Dining,,,2200 N Clark St Suite B,Chicago,IL,,
Especially,customer,B,Fine Dining,,,,,,,
Essential Kitchen & Essential Kitchen Cafe,prospect,C,Meal Prep Service,,,1405 Hunt Club Rd,Gurnee,IL,,
"e-tailer, inc",unknown,D,,,,,,,,
ETC,customer,B,Fine Dining,,,404 S Wells St,Chicago,IL,,Opens Dec. 5th
Euclid,distributor,A,Distributor,,,,,OH,,
Eurest,customer,A,Management Company,,,,,,,
Eurest Dining,customer,A,Management Company,,,,,,,
EURO USA,distributor,A,Distributor,,,,,OH,,
European Imports,prospect,A,Chain/Group,,,,,,,
EuroUSA,distributor,A,Distributor,,,,,,,
Even Odds,unknown,D,,,,,,,,
EVER,customer,A,Fine Dining,,,,,,,
Evil Chech (brewery& Public house?),customer,B,Gastropub,,,3703 N  Main St,Mishawaka,IN,,
Factor75,prospect,A,Meal Prep Service,,,,Burr Ridge,IL,,"Chris is Manager at Burr Ridge location. Chris referred me to Director of Procurment, Kate HealyMeal prep chef Pete balodimas buyer Matt Horgan. Chef Kyle VerVynck"
Fairmont Chicago,customer,A,Fine Dining,,,200 North Columbus Dr,Chicago,IL,60601,Testa Kristen lead for VAF; Chef Elton
Falco's Pizza,customer,C,Pizza,630-654-4644,,561 s fontage rd,Burr Ridge,IL,60527,Gave a kaufhold's sample kit to the manager and tried one of the flavors. Need to follow up
Family Express,customer,A,Chain/Group,,,,,,,
FAMILY PRODUCE FOOD SERVI,distributor,A,Distributor,,,,,IL,,
Farmhouse Academy,unknown,D,,,,,,,,
Fat Angelo's of Bridgeport,customer,C,Gastropub,,,,,,,
FatKats Pizzaeria and Restaurant,unknown,D,,,,,,,,
Fatmans,unknown,A,,,,,,,,
Fatmans,customer,C,Casual Dining,8472448300,,36309 Skokie Hwy,Gurnee,IL,60031,
Fazoli's,customer,A,Chain/Group,,,So many in Indiana,,IN,,
Ferrara Candy Company,prospect,D,Industrial,,,,,,,
FERRIS COFFEE AND NUT CO,distributor,A,Distributor,,,,,MI,,
Fine Arts Bistro,customer,C,Casual Dining,,,,Glasgow,KY,,emailed about samples interest
Fira,unknown,C,,,,,,,,
Fire Bar+Grill,unknown,D,,,,,,,,
FireKeepers Casino Hotel,customer,B,Entertainment,,,,,,,Emailed on 8/19.Executive Chef Brandon Lester; sous chef Everett morris and buye Megan mead
Fireside Grille,unknown,D,,,,,,,,GFS
Flik Hospitality,unknown,D,,,,,,,,
FOOD & PAPER SUPPLY CO,distributor,A,Distributor,,,,Chicago,IL,,
FOOD DISTRIBUTORS INC.,distributor,A,Distributor,,,,,OH,,
Food Export - Midwest,unknown,D,,,,,,,,
